Dashboard_City,Major Category,Predicted_Total_Count,Baseline_Last_Month,Pct_Change
Birmingham,ARSON AND CRIMINAL DAMAGE,961,860,11.7
Birmingham,BURGLARY,528,511,3.3
Birmingham,DRUG OFFENCES,385,360,6.8
Birmingham,MISCELLANEOUS CRIMES AGAINST SOCIETY,617,517,19.4
Birmingham,POSSESSION OF WEAPONS,278,255,9.1
Birmingham,PUBLIC ORDER OFFENCES,671,576,16.5
Birmingham,ROBBERY,278,256,8.8
Birmingham,THEFT,1855,1842,0.7
Birmingham,VEHICLE OFFENCES,1071,975,9.8
Birmingham,VIOLENCE AND SEXUAL OFFENCES,4967,4510,10.1
Brighton and Hove,ARSON AND CRIMINAL DAMAGE,176,144,21.9
Brighton and Hove,BURGLARY,75,78,-4.5
Brighton and Hove,DRUG OFFENCES,107,86,24.8
Brighton and Hove,MISCELLANEOUS CRIMES AGAINST SOCIETY,596,539,10.6
Brighton and Hove,POSSESSION OF WEAPONS,34,33,3.2
Brighton and Hove,PUBLIC ORDER OFFENCES,244,209,16.8
Brighton and Hove,ROBBERY,36,39,-7.5
Brighton and Hove,THEFT,639,602,6.2
Brighton and Hove,VEHICLE OFFENCES,60,58,3.6
Brighton and Hove,VIOLENCE AND SEXUAL OFFENCES,851,739,15.2
"Bristol, City of",ARSON AND CRIMINAL DAMAGE,392,336,16.6
"Bristol, City of",BURGLARY,239,236,1.2
"Bristol, City of",DRUG OFFENCES,125,111,12.7
"Bristol, City of",MISCELLANEOUS CRIMES AGAINST SOCIETY,1076,918,17.2
"Bristol, City of",POSSESSION OF WEAPONS,39,36,9.0
"Bristol, City of",PUBLIC ORDER OFFENCES,584,494,18.1
"Bristol, City of",ROBBERY,125,108,15.5
"Bristol, City of",THEFT,1076,968,11.2
"Bristol, City of",VEHICLE OFFENCES,408,345,18.2
"Bristol, City of",VIOLENCE AND SEXUAL OFFENCES,2128,1957,8.7
Coventry,ARSON AND CRIMINAL DAMAGE,218,203,7.6
Coventry,BURGLARY,140,144,-2.9
Coventry,DRUG OFFENCES,84,81,4.0
Coventry,MISCELLANEOUS CRIMES AGAINST SOCIETY,170,136,24.8
Coventry,POSSESSION OF WEAPONS,58,53,9.3
Coventry,PUBLIC ORDER OFFENCES,168,156,7.8
Coventry,ROBBERY,59,48,22.4
Coventry,THEFT,594,557,6.6
Coventry,VEHICLE OFFENCES,221,265,-16.8
Coventry,VIOLENCE AND SEXUAL OFFENCES,1155,1125,2.7
Derby,ARSON AND CRIMINAL DAMAGE,177,163,8.4
Derby,BURGLARY,78,78,0.2
Derby,DRUG OFFENCES,179,173,3.2
Derby,MISCELLANEOUS CRIMES AGAINST SOCIETY,422,367,15.0
Derby,POSSESSION OF WEAPONS,42,40,5.2
Derby,PUBLIC ORDER OFFENCES,265,211,25.4
Derby,ROBBERY,37,30,22.8
Derby,THEFT,515,428,20.3
Derby,VEHICLE OFFENCES,106,103,3.0
Derby,VIOLENCE AND SEXUAL OFFENCES,1204,1056,14.0
Leeds,ARSON AND CRIMINAL DAMAGE,578,507,14.0
Leeds,BURGLARY,497,468,6.2
Leeds,DRUG OFFENCES,338,316,7.0
Leeds,MISCELLANEOUS CRIMES AGAINST SOCIETY,1099,862,27.5
Leeds,POSSESSION OF WEAPONS,90,72,25.3
Leeds,PUBLIC ORDER OFFENCES,607,519,16.9
Leeds,ROBBERY,161,150,7.2
Leeds,THEFT,1544,1450,6.5
Leeds,VEHICLE OFFENCES,503,411,22.4
Leeds,VIOLENCE AND SEXUAL OFFENCES,3234,2896,11.7
Leicester,ARSON AND CRIMINAL DAMAGE,377,328,15.1
Leicester,BURGLARY,118,96,22.4
Leicester,DRUG OFFENCES,168,131,28.2
Leicester,MISCELLANEOUS CRIMES AGAINST SOCIETY,585,498,17.5
Leicester,POSSESSION OF WEAPONS,41,41,0.6
Leicester,PUBLIC ORDER OFFENCES,373,321,16.2
Leicester,ROBBERY,55,47,17.4
Leicester,THEFT,671,577,16.3
Leicester,VEHICLE OFFENCES,147,169,-13.1
Leicester,VIOLENCE AND SEXUAL OFFENCES,1366,1274,7.2
Liverpool,ARSON AND CRIMINAL DAMAGE,443,385,15.0
Liverpool,BURGLARY,142,143,-0.8
Liverpool,DRUG OFFENCES,637,581,9.7
Liverpool,MISCELLANEOUS CRIMES AGAINST SOCIETY,661,557,18.6
Liverpool,POSSESSION OF WEAPONS,62,68,-8.4
Liverpool,PUBLIC ORDER OFFENCES,545,442,23.3
Liverpool,ROBBERY,62,43,44.2
Liverpool,THEFT,934,772,21.0
Liverpool,VEHICLE OFFENCES,188,140,34.1
Liverpool,VIOLENCE AND SEXUAL OFFENCES,2067,1918,7.8
London,ARSON AND CRIMINAL DAMAGE,4506,3981,13.2
London,BURGLARY,3981,3990,-0.2
London,DRUG OFFENCES,3891,3724,4.5
London,MISCELLANEOUS CRIMES AGAINST SOCIETY,19854,17434,13.9
London,POSSESSION OF WEAPONS,569,530,7.3
London,PUBLIC ORDER OFFENCES,4617,4304,7.3
London,ROBBERY,2538,2282,11.2
London,THEFT,22235,21086,5.5
London,VEHICLE OFFENCES,6532,6215,5.1
London,VIOLENCE AND SEXUAL OFFENCES,22571,21235,6.3
Manchester,ARSON AND CRIMINAL DAMAGE,1,0,
Manchester,BURGLARY,1,1,-37.7
Manchester,DRUG OFFENCES,0,0,
Manchester,MISCELLANEOUS CRIMES AGAINST SOCIETY,0,0,
Manchester,POSSESSION OF WEAPONS,0,0,
Manchester,PUBLIC ORDER OFFENCES,0,0,
Manchester,ROBBERY,0,0,
Manchester,THEFT,0,0,
Manchester,VEHICLE OFFENCES,1,2,-71.3
Manchester,VIOLENCE AND SEXUAL OFFENCES,9,12,-26.6
Newcastle upon Tyne,ARSON AND CRIMINAL DAMAGE,136,97,40.7
Newcastle upon Tyne,BURGLARY,93,92,0.7
Newcastle upon Tyne,DRUG OFFENCES,76,69,9.5
Newcastle upon Tyne,MISCELLANEOUS CRIMES AGAINST SOCIETY,648,597,8.5
Newcastle upon Tyne,POSSESSION OF WEAPONS,28,18,58.1
Newcastle upon Tyne,PUBLIC ORDER OFFENCES,170,140,21.3
Newcastle upon Tyne,ROBBERY,37,34,8.8
Newcastle upon Tyne,THEFT,563,525,7.2
Newcastle upon Tyne,VEHICLE OFFENCES,122,109,11.5
Newcastle upon Tyne,VIOLENCE AND SEXUAL OFFENCES,806,755,6.8
Nottingham,ARSON AND CRIMINAL DAMAGE,318,271,17.3
